[2026-04-05T15:38:19.256Z] Launcher started in C:\Projects\Teste\openclaude
[2026-04-05T15:38:19.281Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:19.282Z] Already running check: false
[2026-04-05T15:38:19.294Z] Starting stack on api=7777 ui=3000
[2026-04-05T15:38:20.320Z] Stack launch commands issued
[2026-04-05T15:38:20.321Z] Waiting for services: api=http://127.0.0.1:7777/healthz ui=http://127.0.0.1:3000/healthz
[2026-04-05T15:38:20.323Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:20.324Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:20.326Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:20.838Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:20.838Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:20.839Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:21.354Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:21.355Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:21.356Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:21.865Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:21.866Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:21.866Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:22.377Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:22.378Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:22.379Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:22.888Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:22.889Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:22.890Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:23.402Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:23.403Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:23.405Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:23.918Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:23.919Z] UI health request failed: http://127.0.0.1:3000/healthz
[2026-04-05T15:38:23.920Z] UI root request failed: http://127.0.0.1:3000
[2026-04-05T15:38:24.431Z] API health request failed: http://127.0.0.1:7777/healthz
[2026-04-05T15:38:24.431Z] UI health request failed: http://127.0.0.1:3000/healthz
